,precision,recall,f1-score,support
"tench, Tinca tinca",1.0,0.14,0.24561403508771928,50
"goldfish, Carassius auratus",0.6666666666666666,0.4,0.5,50
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",1.0,0.24,0.3870967741935484,50
"tiger shark, Galeocerdo cuvieri",0.5,0.22,0.3055555555555556,50
"hammerhead, hammerhead shark",0.5263157894736842,0.2,0.28985507246376807,50
"electric ray, crampfish, numbfish, torpedo",0.16,0.24,0.19199999999999998,50
stingray,1.0,0.1,0.18181818181818182,50
cock,1.0,0.02,0.0392156862745098,50
hen,0.6666666666666666,0.04,0.07547169811320754,50
"ostrich, Struthio camelus",0.7777777777777778,0.14,0.23728813559322035,50
"brambling, Fringilla montifringilla",0.6666666666666666,0.04,0.07547169811320754,50
"goldfinch, Carduelis carduelis",0.9411764705882353,0.32,0.4776119402985075,50
"house finch, linnet, Carpodacus mexicanus",0.8571428571428571,0.12,0.21052631578947367,50
"junco, snowbird",1.0,0.1,0.18181818181818182,50
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.5625,0.36,0.43902439024390244,50
"robin, American robin, Turdus migratorius",1.0,0.02,0.0392156862745098,50
bulbul,0.6,0.06,0.1090909090909091,50
jay,0.7272727272727273,0.32,0.4444444444444444,50
magpie,1.0,0.04,0.07692307692307693,50
chickadee,1.0,0.02,0.0392156862745098,50
"water ouzel, dipper",1.0,0.02,0.0392156862745098,50
kite,0.25806451612903225,0.16,0.19753086419753085,50
"bald eagle, American eagle, Haliaeetus leucocephalus",0.6,0.06,0.1090909090909091,50
vulture,0.16129032258064516,0.1,0.12345679012345678,50
"great grey owl, great gray owl, Strix nebulosa",1.0,0.14,0.24561403508771928,50
"European fire salamander, Salamandra salamandra",1.0,0.04,0.07692307692307693,50
"common newt, Triturus vulgaris",0.1346153846153846,0.14,0.13725490196078433,50
eft,0.4444444444444444,0.16,0.23529411764705882,50
"spotted salamander, Ambystoma maculatum",0.6666666666666666,0.04,0.07547169811320754,50
"axolotl, mud puppy, Ambystoma mexicanum",0.7777777777777778,0.28,0.4117647058823529,50
"bullfrog, Rana catesbeiana",0.0,0.0,0.0,50
"tree frog, tree-frog",1.0,0.02,0.0392156862745098,50
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.0,0.0,0.0,50
"loggerhead, loggerhead turtle, Caretta caretta",0.0,0.0,0.0,50
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.0,0.04,0.07692307692307693,50
mud turtle,0.0,0.0,0.0,50
terrapin,0.5,0.02,0.038461538461538464,50
"box turtle, box tortoise",0.0,0.0,0.0,50
banded gecko,0.0673758865248227,0.38,0.11445783132530121,50
"common iguana, iguana, Iguana iguana",0.0,0.0,0.0,50
"American chameleon, anole, Anolis carolinensis",0.45454545454545453,0.1,0.16393442622950818,50
"whiptail, whiptail lizard",0.0,0.0,0.0,50
agama,0.8333333333333334,0.1,0.17857142857142858,50
"frilled lizard, Chlamydosaurus kingi",0.0,0.0,0.0,50
alligator lizard,0.045871559633027525,0.1,0.06289308176100629,50
"Gila monster, Heloderma suspectum",0.0,0.0,0.0,50
"green lizard, Lacerta viridis",0.5714285714285714,0.08,0.14035087719298248,50
"African chameleon, Chamaeleo chamaeleon",0.07467532467532467,0.46,0.12849162011173187,50
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.0,0.02,0.0392156862745098,50
"African crocodile, Nile crocodile, Crocodylus niloticus",0.0,0.0,0.0,50
"American alligator, Alligator mississipiensis",0.13333333333333333,0.04,0.061538461538461535,50
triceratops,0.13043478260869565,0.06,0.0821917808219178,50
"thunder snake, worm snake, Carphophis amoenus",0.8333333333333334,0.1,0.17857142857142858,50
"ringneck snake, ring-necked snake, ring snake",0.0,0.0,0.0,50
"hognose snake, puff adder, sand viper",0.3333333333333333,0.02,0.03773584905660377,50
"green snake, grass snake",0.5555555555555556,0.2,0.29411764705882354,50
"king snake, kingsnake",0.16666666666666666,0.24,0.19672131147540983,50
"garter snake, grass snake",0.0,0.0,0.0,50
water snake,0.10344827586206896,0.06,0.0759493670886076,50
vine snake,0.45,0.18,0.2571428571428572,50
"night snake, Hypsiglena torquata",0.031746031746031744,0.04,0.035398230088495575,50
"boa constrictor, Constrictor constrictor",0.03404255319148936,0.16,0.056140350877192984,50
"rock python, rock snake, Python sebae",0.08860759493670886,0.14,0.10852713178294575,50
"Indian cobra, Naja naja",1.0,0.08,0.14814814814814814,50
green mamba,0.3333333333333333,0.12,0.1764705882352941,50
sea snake,0.17647058823529413,0.24,0.20338983050847456,50
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.03361344537815126,0.56,0.06342015855039637,50
"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.0,0.0,0.0,50
"sidewinder, horned rattlesnake, Crotalus cerastes",0.06153846153846154,0.08,0.06956521739130433,50
trilobite,0.0,0.0,0.0,50
"harvestman, daddy longlegs, Phalangium opilio",0.8,0.08,0.14545454545454545,50
scorpion,0.0,0.0,0.0,50
"black and gold garden spider, Argiope aurantia",0.3888888888888889,0.14,0.20588235294117646,50
"barn spider, Araneus cavaticus",0.05555555555555555,0.22,0.08870967741935483,50
"garden spider, Aranea diademata",0.09615384615384616,0.1,0.09803921568627451,50
"black widow, Latrodectus mactans",1.0,0.02,0.0392156862745098,50
tarantula,1.0,0.02,0.0392156862745098,50
"wolf spider, hunting spider",0.0,0.0,0.0,50
tick,0.47368421052631576,0.18,0.2608695652173913,50
centipede,0.06666666666666667,0.02,0.030769230769230767,50
black grouse,0.35,0.42,0.3818181818181818,50
ptarmigan,1.0,0.08,0.14814814814814814,50
"ruffed grouse, partridge, Bonasa umbellus",0.42857142857142855,0.06,0.10526315789473684,50
"prairie chicken, prairie grouse, prairie fowl",1.0,0.04,0.07692307692307693,50
peacock,0.9230769230769231,0.24,0.38095238095238093,50
quail,0.25,0.02,0.037037037037037035,50
partridge,0.75,0.12,0.20689655172413793,50
"African grey, African gray, Psittacus erithacus",1.0,0.1,0.18181818181818182,50
macaw,1.0,0.04,0.07692307692307693,50
