,precision,recall,f1-score,support
"tench, Tinca tinca",0.1111111111111111,0.02,0.03389830508474577,50
"goldfish, Carassius auratus",0.4634146341463415,0.38,0.4175824175824176,50
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.3333333333333333,0.26,0.2921348314606742,50
"tiger shark, Galeocerdo cuvieri",0.4,0.08,0.13333333333333333,50
"hammerhead, hammerhead shark",0.3333333333333333,0.02,0.03773584905660377,50
"electric ray, crampfish, numbfish, torpedo",0.2857142857142857,0.04,0.07017543859649124,50
stingray,0.3,0.06,0.09999999999999999,50
cock,0.21875,0.28,0.2456140350877193,50
hen,0.20967741935483872,0.26,0.23214285714285712,50
"ostrich, Struthio camelus",0.5,0.3,0.37499999999999994,50
"brambling, Fringilla montifringilla",0.21739130434782608,0.2,0.20833333333333331,50
"goldfinch, Carduelis carduelis",0.3142857142857143,0.22,0.25882352941176473,50
"house finch, linnet, Carpodacus mexicanus",0.27586206896551724,0.16,0.20253164556962025,50
"junco, snowbird",0.42857142857142855,0.18,0.2535211267605634,50
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.4090909090909091,0.18,0.25,50
"robin, American robin, Turdus migratorius",0.2553191489361702,0.24,0.24742268041237112,50
bulbul,0.08108108108108109,0.06,0.06896551724137931,50
jay,0.23863636363636365,0.42,0.30434782608695654,50
magpie,0.4583333333333333,0.22,0.29729729729729726,50
chickadee,0.3157894736842105,0.12,0.17391304347826086,50
"water ouzel, dipper",0.42857142857142855,0.18,0.2535211267605634,50
kite,0.38095238095238093,0.16,0.22535211267605634,50
"bald eagle, American eagle, Haliaeetus leucocephalus",0.52,0.26,0.3466666666666667,50
vulture,0.19230769230769232,0.1,0.13157894736842105,50
"great grey owl, great gray owl, Strix nebulosa",0.3448275862068966,0.4,0.3703703703703704,50
"European fire salamander, Salamandra salamandra",0.2,0.36,0.2571428571428571,50
"common newt, Triturus vulgaris",0.0,0.0,0.0,50
eft,0.2413793103448276,0.14,0.17721518987341772,50
"spotted salamander, Ambystoma maculatum",0.05,0.02,0.02857142857142857,50
"axolotl, mud puppy, Ambystoma mexicanum",0.375,0.06,0.10344827586206896,50
"bullfrog, Rana catesbeiana",0.0859375,0.22,0.12359550561797754,50
"tree frog, tree-frog",0.21052631578947367,0.08,0.11594202898550725,50
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.05,0.02,0.02857142857142857,50
"loggerhead, loggerhead turtle, Caretta caretta",0.23076923076923078,0.06,0.09523809523809523,50
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.08181818181818182,0.18,0.11249999999999998,50
mud turtle,0.11764705882352941,0.08,0.09523809523809526,50
terrapin,0.08823529411764706,0.12,0.10169491525423728,50
"box turtle, box tortoise",0.2222222222222222,0.12,0.15584415584415584,50
banded gecko,0.06451612903225806,0.04,0.04938271604938271,50
"common iguana, iguana, Iguana iguana",0.039301310043668124,0.18,0.06451612903225806,50
"American chameleon, anole, Anolis carolinensis",0.09210526315789473,0.14,0.1111111111111111,50
"whiptail, whiptail lizard",0.42857142857142855,0.12,0.1875,50
agama,0.08,0.36,0.1309090909090909,50
"frilled lizard, Chlamydosaurus kingi",0.056818181818181816,0.1,0.07246376811594203,50
alligator lizard,0.08,0.04,0.05333333333333334,50
"Gila monster, Heloderma suspectum",0.051470588235294115,0.14,0.07526881720430108,50
"green lizard, Lacerta viridis",0.07272727272727272,0.08,0.0761904761904762,50
"African chameleon, Chamaeleo chamaeleon",0.11904761904761904,0.1,0.10869565217391304,50
