,precision,recall,f1-score,support
"tench, Tinca tinca",0.9787234042553191,0.92,0.9484536082474226,50
"goldfish, Carassius auratus",0.88,0.88,0.88,50
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.7454545454545455,0.82,0.780952380952381,50
"tiger shark, Galeocerdo cuvieri",0.6964285714285714,0.78,0.7358490566037736,50
"hammerhead, hammerhead shark",0.8775510204081632,0.86,0.8686868686868686,50
"electric ray, crampfish, numbfish, torpedo",0.6730769230769231,0.7,0.6862745098039216,50
stingray,0.6031746031746031,0.76,0.672566371681416,50
cock,0.9428571428571428,0.66,0.7764705882352942,50
hen,0.7543859649122807,0.86,0.8037383177570094,50
"ostrich, Struthio camelus",0.9411764705882353,0.96,0.9504950495049505,50
"brambling, Fringilla montifringilla",0.875,0.84,0.8571428571428572,50
"goldfinch, Carduelis carduelis",0.9387755102040817,0.92,0.9292929292929293,50
"house finch, linnet, Carpodacus mexicanus",0.9166666666666666,0.88,0.8979591836734694,50
"junco, snowbird",0.9574468085106383,0.9,0.9278350515463918,50
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.9574468085106383,0.9,0.9278350515463918,50
"robin, American robin, Turdus migratorius",0.9038461538461539,0.94,0.9215686274509804,50
bulbul,0.9523809523809523,0.8,0.8695652173913043,50
jay,0.8823529411764706,0.9,0.8910891089108911,50
magpie,0.8913043478260869,0.82,0.8541666666666666,50
chickadee,1.0,0.9,0.9473684210526316,50
"water ouzel, dipper",0.9130434782608695,0.84,0.8749999999999999,50
kite,0.7708333333333334,0.74,0.7551020408163266,50
"bald eagle, American eagle, Haliaeetus leucocephalus",0.8846153846153846,0.92,0.9019607843137256,50
vulture,0.8301886792452831,0.88,0.8543689320388349,50
"great grey owl, great gray owl, Strix nebulosa",0.9795918367346939,0.96,0.9696969696969697,50
"European fire salamander, Salamandra salamandra",0.9019607843137255,0.92,0.9108910891089109,50
"common newt, Triturus vulgaris",0.6086956521739131,0.56,0.5833333333333334,50
eft,0.8571428571428571,0.72,0.782608695652174,50
