,precision,recall,f1-score,support
"tench, Tinca tinca",0.9787234042553191,0.92,0.9484536082474226,50
"goldfish, Carassius auratus",0.9565217391304348,0.88,0.9166666666666666,50
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.8541666666666666,0.82,0.836734693877551,50
"tiger shark, Galeocerdo cuvieri",0.7241379310344828,0.84,0.7777777777777777,50
"hammerhead, hammerhead shark",0.7962962962962963,0.86,0.826923076923077,50
"electric ray, crampfish, numbfish, torpedo",0.9302325581395349,0.8,0.8602150537634408,50
stingray,0.7368421052631579,0.84,0.7850467289719626,50
cock,0.9069767441860465,0.78,0.8387096774193548,50
hen,0.7857142857142857,0.88,0.830188679245283,50
"ostrich, Struthio camelus",0.9615384615384616,1.0,0.9803921568627451,50
"brambling, Fringilla montifringilla",0.92,0.92,0.92,50
"goldfinch, Carduelis carduelis",0.9411764705882353,0.96,0.9504950495049505,50
"house finch, linnet, Carpodacus mexicanus",0.8909090909090909,0.98,0.9333333333333333,50
"junco, snowbird",0.96,0.96,0.96,50
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",1.0,0.94,0.9690721649484536,50
"robin, American robin, Turdus migratorius",0.96,0.96,0.96,50
bulbul,0.9772727272727273,0.86,0.9148936170212766,50
jay,0.9787234042553191,0.92,0.9484536082474226,50
magpie,0.9245283018867925,0.98,0.9514563106796116,50
chickadee,1.0,0.98,0.98989898989899,50
"water ouzel, dipper",0.9333333333333333,0.84,0.8842105263157894,50
kite,0.8541666666666666,0.82,0.836734693877551,50
"bald eagle, American eagle, Haliaeetus leucocephalus",0.8888888888888888,0.96,0.923076923076923,50
vulture,0.8888888888888888,0.96,0.923076923076923,50
"great grey owl, great gray owl, Strix nebulosa",0.98,0.98,0.98,50
"European fire salamander, Salamandra salamandra",0.9583333333333334,0.92,0.9387755102040817,50
"common newt, Triturus vulgaris",0.6875,0.66,0.673469387755102,50
eft,0.8636363636363636,0.76,0.8085106382978724,50
"spotted salamander, Ambystoma maculatum",0.7627118644067796,0.9,0.8256880733944953,50
"axolotl, mud puppy, Ambystoma mexicanum",0.9591836734693877,0.94,0.9494949494949495,50
"bullfrog, Rana catesbeiana",0.82,0.82,0.82,50
"tree frog, tree-frog",0.8363636363636363,0.92,0.8761904761904761,50
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.7567567567567568,0.56,0.6436781609195402,50
"loggerhead, loggerhead turtle, Caretta caretta",0.7777777777777778,0.84,0.8076923076923077,50
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.875,0.56,0.6829268292682927,50
mud turtle,0.625,0.7,0.6603773584905661,50
terrapin,0.5625,0.54,0.5510204081632654,50
"box turtle, box tortoise",0.7719298245614035,0.88,0.822429906542056,50
banded gecko,1.0,0.86,0.924731182795699,50
"common iguana, iguana, Iguana iguana",0.7924528301886793,0.84,0.8155339805825242,50
"American chameleon, anole, Anolis carolinensis",0.6666666666666666,0.56,0.6086956521739131,50
"whiptail, whiptail lizard",0.8363636363636363,0.92,0.8761904761904761,50
agama,0.8367346938775511,0.82,0.8282828282828283,50
"frilled lizard, Chlamydosaurus kingi",0.9318181818181818,0.82,0.8723404255319149,50
alligator lizard,0.6875,0.66,0.673469387755102,50
"Gila monster, Heloderma suspectum",0.9302325581395349,0.8,0.8602150537634408,50
"green lizard, Lacerta viridis",0.5084745762711864,0.6,0.5504587155963302,50
"African chameleon, Chamaeleo chamaeleon",0.9111111111111111,0.82,0.8631578947368421,50
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",0.9230769230769231,0.96,0.9411764705882353,50
"African crocodile, Nile crocodile, Crocodylus niloticus",0.8333333333333334,0.7,0.7608695652173915,50
"American alligator, Alligator mississipiensis",0.8367346938775511,0.82,0.8282828282828283,50
triceratops,0.9375,0.9,0.9183673469387755,50
"thunder snake, worm snake, Carphophis amoenus",0.7142857142857143,0.8,0.7547169811320756,50
"ringneck snake, ring-necked snake, ring snake",0.7457627118644068,0.88,0.8073394495412843,50
"hognose snake, puff adder, sand viper",0.6346153846153846,0.66,0.6470588235294118,50
"green snake, grass snake",0.7441860465116279,0.64,0.6881720430107526,50
"king snake, kingsnake",0.851063829787234,0.8,0.8247422680412372,50
"garter snake, grass snake",0.8269230769230769,0.86,0.8431372549019608,50
water snake,0.6071428571428571,0.68,0.6415094339622641,50
vine snake,0.8372093023255814,0.72,0.7741935483870969,50
"night snake, Hypsiglena torquata",0.4523809523809524,0.38,0.41304347826086957,50
"boa constrictor, Constrictor constrictor",0.6896551724137931,0.8,0.7407407407407408,50
"rock python, rock snake, Python sebae",0.7777777777777778,0.56,0.6511627906976745,50
"Indian cobra, Naja naja",0.8235294117647058,0.84,0.8316831683168315,50
green mamba,0.75,0.72,0.7346938775510204,50
sea snake,0.7959183673469388,0.78,0.7878787878787878,50
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.5882352941176471,0.4,0.4761904761904762,50
"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.7272727272727273,0.8,0.761904761904762,50
"sidewinder, horned rattlesnake, Crotalus cerastes",0.5178571428571429,0.58,0.5471698113207547,50
trilobite,0.8421052631578947,0.96,0.8971962616822429,50
