,precision,recall,f1-score,support
"tench, Tinca tinca",0.8333333333333334,0.8,0.816326530612245,50
"goldfish, Carassius auratus",0.9347826086956522,0.86,0.8958333333333334,50
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.7,0.7,0.7,50
"tiger shark, Galeocerdo cuvieri",0.5866666666666667,0.88,0.704,50
"hammerhead, hammerhead shark",0.7755102040816326,0.76,0.7676767676767676,50
"electric ray, crampfish, numbfish, torpedo",0.37777777777777777,0.68,0.48571428571428565,50
stingray,0.46835443037974683,0.74,0.5736434108527131,50
cock,0.8055555555555556,0.58,0.6744186046511629,50
hen,0.5441176470588235,0.74,0.6271186440677965,50
"ostrich, Struthio camelus",0.8837209302325582,0.76,0.8172043010752689,50
"brambling, Fringilla montifringilla",0.7551020408163265,0.74,0.7474747474747474,50
"goldfinch, Carduelis carduelis",0.8571428571428571,0.84,0.8484848484848485,50
"house finch, linnet, Carpodacus mexicanus",0.8285714285714286,0.58,0.6823529411764706,50
"junco, snowbird",1.0,0.72,0.8372093023255813,50
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.9523809523809523,0.8,0.8695652173913043,50
"robin, American robin, Turdus migratorius",0.8837209302325582,0.76,0.8172043010752689,50
bulbul,0.8048780487804879,0.66,0.7252747252747254,50
jay,0.7586206896551724,0.88,0.8148148148148148,50
magpie,0.7111111111111111,0.64,0.6736842105263158,50
chickadee,1.0,0.32,0.48484848484848486,50
"water ouzel, dipper",0.9117647058823529,0.62,0.7380952380952381,50
kite,0.38235294117647056,0.78,0.513157894736842,50
"bald eagle, American eagle, Haliaeetus leucocephalus",0.9318181818181818,0.82,0.8723404255319149,50
vulture,0.6904761904761905,0.58,0.6304347826086957,50
"great grey owl, great gray owl, Strix nebulosa",0.9111111111111111,0.82,0.8631578947368421,50
"European fire salamander, Salamandra salamandra",0.8723404255319149,0.82,0.8453608247422681,50
"common newt, Triturus vulgaris",0.6571428571428571,0.46,0.5411764705882354,50
eft,0.868421052631579,0.66,0.7500000000000001,50
"spotted salamander, Ambystoma maculatum",0.5180722891566265,0.86,0.6466165413533834,50
"axolotl, mud puppy, Ambystoma mexicanum",0.9347826086956522,0.86,0.8958333333333334,50
